source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw,source_radar_timestamp,destination_radar_timestamp
1547131014730417,1547131014477724,0.000269,-0.00027,0,0,0,0.000011,1547131014603839,1547131014351772
1547131014983426,1547131014730417,0.001167,-0.0001,0,0,0,-0.000012,1547131014857246,1547131014603839
1547131015235031,1547131014983426,0.000985,0.00029,0,0,0,0,1547131015109865,1547131014857246
1547131015484492,1547131015235031,0.001502,0.000346,0,0,0,-0.00002,1547131015360474,1547131015109865
1547131015732199,1547131015484492,-0.0022,-0.001113,0,0,0,0.000119,1547131015608777,1547131015360474
1547131015979316,1547131015732199,-0.000965,0.000399,0,0,0,-0.000016,1547131015855880,1547131015608777
1547131016226188,1547131015979316,0.00053,0.000379,0,0,0,-0.000062,1547131016102906,1547131015855880
1547131016473759,1547131016226188,0.001232,-0.000743,0,0,0,-0.00001,1547131016349600,1547131016102906
1547131016722981,1547131016473759,-0.000251,0.000221,0,0,0,0.000008,1547131016598174,1547131016349600
1547131016973228,1547131016722981,0.000451,0.000008,0,0,0,0.000007,1547131016848022,1547131016598174
1547131017223438,1547131016973228,0.000355,0.000236,0,0,0,0.000005,1547131017098615,1547131016848022
1547131017473137,1547131017223438,0.000181,0.000335,0,0,0,-0.000008,1547131017348496,1547131017098615
1547131017722631,1547131017473137,0.000055,0.000079,0,0,0,-0.000003,1547131017598040,1547131017348496
1547131017971860,1547131017722631,-0.00128,-0.000985,0,0,0,0.000062,1547131017847537,1547131017598040
1547131018220803,1547131017971860,0.000545,0.000728,0,0,0,-0.000064,1547131018096426,1547131017847537
1547131018469595,1547131018220803,0.000946,0.000593,0,0,0,-0.000054,1547131018345382,1547131018096426
1547131018719224,1547131018469595,0.000388,0.000047,0,0,0,-0.000014,1547131018594065,1547131018345382
1547131018970192,1547131018719224,-0.001752,-0.000382,0,0,0,0.000006,1547131018844707,1547131018594065
1547131019220577,1547131018970192,-0.000856,-0.000642,0,0,0,0.000096,1547131019095842,1547131018844707
1547131019470621,1547131019220577,0.002664,0.000552,0,0,0,-0.000019,1547131019345662,1547131019095842
1547131019720977,1547131019470621,0.001905,0.000486,0,0,0,-0.000077,1547131019595716,1547131019345662
1547131019972578,1547131019720977,-0.000377,0.000228,0,0,0,-0.000057,1547131019846246,1547131019595716
1547131020225165,1547131019972578,-0.002201,0.000023,0,0,0,0.000001,1547131020098930,1547131019846246
1547131020477637,1547131020225165,0.000826,-0.000183,0,0,0,-0.000014,1547131020351409,1547131020098930
1547131020729746,1547131020477637,0.001082,0.000227,0,0,0,-0.000032,1547131020604107,1547131020351409
1547131020980055,1547131020729746,-0.00369,-0.000826,0,0,0,0.000146,1547131020855517,1547131020604107
1547131021228476,1547131020980055,-0.003339,-0.001005,0,0,0,0.00014,1547131021104602,1547131020855517
1547131021476356,1547131021228476,0.000598,-0.000407,0,0,0,0.000025,1547131021352482,1547131021104602
1547131021724305,1547131021476356,0.001981,0.000616,0,0,0,-0.000049,1547131021600519,1547131021352482
1547131021972145,1547131021724305,0.003922,0.001866,0,0,0,-0.000178,1547131021848239,1547131021600519
1547131022220714,1547131021972145,0.000553,-0.000285,0,0,0,-0.000007,1547131022096296,1547131021848239
1547131022470288,1547131022220714,-0.000924,-0.001076,0,0,0,0.000082,1547131022345409,1547131022096296
1547131022720311,1547131022470288,0.000034,-0.000128,0,0,0,0.000047,1547131022595436,1547131022345409
1547131022970025,1547131022720311,-0.001745,-0.000176,0,0,0,0.000024,1547131022845453,1547131022595436
1547131023219067,1547131022970025,-0.000973,-0.000339,0,0,0,0.000011,1547131023094610,1547131022845453
1547131023468356,1547131023219067,0.000052,0.000106,0,0,0,-0.000021,1547131023343773,1547131023094610
1547131023718281,1547131023468356,0.000718,0.00036,0,0,0,-0.000046,1547131023592949,1547131023343773
1547131023969328,1547131023718281,0.000483,0.000081,0,0,0,-0.000038,1547131023843733,1547131023592949
1547131024220232,1547131023969328,-0.000962,-0.00156,0,0,0,0.000081,1547131024095183,1547131023843733
1547131024470571,1547131024220232,-0.001094,0.000401,0,0,0,0.000044,1547131024345549,1547131024095183
1547131024720837,1547131024470571,-0.000201,0.000306,0,0,0,0.000009,1547131024595871,1547131024345549
1547131024972263,1547131024720837,0.001156,0.000472,0,0,0,-0.00004,1547131024846063,1547131024595871
1547131025224950,1547131024972263,0.002169,0.000945,0,0,0,-0.000066,1547131025098573,1547131024846063
1547131025477530,1547131025224950,0.002207,-0.000068,0,0,0,0.000044,1547131025351459,1547131025098573
1547131025729778,1547131025477530,-0.002362,-0.00064,0,0,0,0.000022,1547131025604167,1547131025351459
1547131025980064,1547131025729778,-0.00166,-0.000242,0,0,0,0.000018,1547131025855398,1547131025604167
1547131026228645,1547131025980064,0.000943,0.000342,0,0,0,-0.000016,1547131026104927,1547131025855398
1547131026476513,1547131026228645,0.002625,0.000625,0,0,0,-0.000049,1547131026352674,1547131026104927
1547131026724196,1547131026476513,-0.003744,-0.00067,0,0,0,0.000037,1547131026600528,1547131026352674
1547131026971865,1547131026724196,-0.000099,-0.000222,0,0,0,0.00001,1547131026848010,1547131026600528
1547131027220472,1547131026971865,0.00023,-0.000073,0,0,0,0.000008,1547131027095826,1547131026848010
1547131027470044,1547131027220472,0.000057,0.000167,0,0,0,-0.000023,1547131027345389,1547131027095826
1547131027719835,1547131027470044,0.000682,0.000331,0,0,0,-0.000058,1547131027594956,1547131027345389
1547131027969652,1547131027719835,0.001241,0.000501,0,0,0,0.000047,1547131027844980,1547131027594956
